g,h
-16.15274,68.03705
28.10458,8.914262
-6.446852,-9.274765
-2.67054,-3.195671
5.217419,-17.22787
-3.304006,19.38323
-3.052647,13.429
-421.5677,9.208426
521.9899,-13.43209
-16.69772,-11.28737
23.48989,2.805712
-.6261055,-1.217835
-9.604582,8.467983
6.026669,-15.35585
-11.99134,-3.052533
19.40225,9.066183
-4.861579,-.0086268
4.661048,-10.59339
-12.91449,.5925599
15.87794,.6970712
11.73994,1.418714
3.398422,24.89167
-4.429982,-17.35552
5.973494,-7.600347
22.28838,17.15533
2.9859,-14.98705
15.52638,18.47029
12.63349,2.885869
10.1504,-10.0992
12.19927,-2.865653
35.7421,-7.306716
23.71448,34.98067
2.601246,-25.57341
-.0438734,17.69086
-7.182888,-12.55462
39.19338,6.970422
6.335771,-2.192519
-11.43274,2.600376
-50.14826,5.856109
2.033704,-15.65077
-2.573138,-5.5477
-6.627316,12.03488
-11.01072,6.773894
-.3006212,-33.53128
-6.041839,-7.60624
14.84583,28.84542
-7.538623,-13.24947
-5.655883,-2.792239
15.56764,-.3145089
-9.803625,2.750615
1.183918,-6.416494
.4434366,6.170618
29.92257,.2772761
-44.69402,10.22263
16.6442,1.50292
2.683952,-6.198235
7.688439,-.7477888
4.761168,1.323223
-8.509324,-1.649467
11.08948,-18.92636
-15.49404,20.76236
-1.050342,4.142252
5.614491,-5.540781
-3.295398,6.70129
3.718222,-2.801896
2.529757,5.593945
-4.370762,-.6940658
5.831751,-4.723745
39.99606,-22.39581
2.909699,-2.975407
-10.80076,-3.531344
-7.534783,-2.371407
-18.97442,1.185093
-10.52215,-3.822824
22.75044,.2393197
-8.801148,.4061405
-10.86185,-3.183839
-12.06606,-1.980021
-6.391116,-.7942207
-7.824751,17.80009
-2.803585,-9.181616
-4.642816,-2.210665
-7.867014,.2778166
1.397701,-.3313926
-5.914376,-2.283736
3.563702,-.0178399
2.703877,-1.522665
-5.943633,-5.009213
-12.10424,11.82903
3.983794,-14.51119
-109.5469,-116.7785
46.46985,109.4978
10.05366,-1.168824
8.093433,-6.63724
8.323464,-7.163736
2.794936,.0771428
8.920813,2.487626
1.023273,-12.58961
-.0563041,7.422308
4.91362,-7.293423
-10.59687,8.406792
-5.803802,-13.598
-4.486945,7.40484
-6.001842,3.401364
4.031353,-11.14918
.7487282,7.491847
-7.793622,-13.06149
12.30122,18.16258
-3.038886,21.79948
-12.10449,-14.65625
-38.10667,-1.676934
-22.76766,1.181829
-52.77452,35.07004
7.145693,-20.49232
1.663597,11.72696
18.01719,2.602475
38.09406,-9.604812
11.86227,6.94319
-37.25093,-2.588626
-7.714351,-15.60716
5.391935,2.927261
-6.311936,-6.800331
-1.351677,-21.1799
-140.9999,12.87976
-4.70176,-42.85023
113.1679,-249.7256
-12.11157,-4.21264
-5.870487,9.153565
-25.09353,-.4729652
30.01868,-15.96459
1.021113,-5.577662
76.11421,-5.045575
-63.79184,39.5845
12.65635,-22.93512
18.79051,20.13137
12.3327,-9.424942
-.2226457,-38.32611
.1196612,38.65973
-2.788948,-11.13152
-37.57622,8.419182
-5.072409,8.882256
-25.12769,-26.84163
2.759787,3.470641
12.61273,5.567074
-.1676355,-5.162044
-36.0964,-5.715549
13.91135,9.406556
-7.907868,14.33356
22.5103,-26.65564
-181.6572,17.14321
170.4259,1.194267
-16.06302,-2.975826
-7.864801,-2.319505
6.029534,-19.61243
14.4368,2.473426
-13.45512,-70.01372
41.12987,39.4735
-28.15402,-61.9076
8.401295,35.45821
-3.127872,84.88843
6.939081,-77.97886
-7.080664,-21.11327
-27.74482,-17.99837
62.89205,53.90968
-4.94064,-.2963143
7.172176,-16.00609
-3.348902,16.08661
-8.615847,14.69516
10.5612,-20.71941
-35.86413,-.8359863
25.81194,4.09797
21.47645,-14.25754
-7.368761,-13.67792
-5.448144,14.57804
23.46803,33.07479
-39.55115,-50.74816
27.4088,16.61665
-23.185,20.43937
